Date,URL
"2015-09-22, Flamingo (Costa Rica), Guanacaste, Costa Rica (MRFL)",https://www.wunderground.com/history/daily/MRTM/date/2015-9-22
"2020-11-08, Flamingo (Costa Rica), Guanacaste, Costa Rica (MRFL)",https://www.wunderground.com/history/daily/MRTM/date/2020-11-8
"2015-08-19, Panama City, Panamá, Panama",https://www.wunderground.com/history/daily/MPMG/date/2015-8-19
"2016-07-16, Panama City, Panamá, Panama",https://www.wunderground.com/history/daily/MPMG/date/2016-7-16
"2016-10-23, Panama City, Panamá, Panama",https://www.wunderground.com/history/daily/MPMG/date/2016-10-23
"2017-03-03, Panama City, Panamá, Panama",https://www.wunderground.com/history/daily/MPMG/date/2017-3-3
"2017-03-04, Panama City, Panamá, Panama",https://www.wunderground.com/history/daily/MPMG/date/2017-3-4
"2018-09-25, Panama City, Panamá, Panama",https://www.wunderground.com/history/daily/MPMG/date/2018-9-25
"2020-11-08, Panama City, Panamá, Panama",https://www.wunderground.com/history/daily/MPMG/date/2020-11-8
"2021-05-23, Panama City, Panamá, Panama",https://www.wunderground.com/history/daily/MPMG/date/2021-5-23
"2021-05-24, Panama City, Panamá, Panama",https://www.wunderground.com/history/daily/MPMG/date/2021-5-24
"2021-05-25, Panama City, Panamá, Panama",https://www.wunderground.com/history/daily/MPMG/date/2021-5-25
"2022-02-13, Panama City, Panamá, Panama",https://www.wunderground.com/history/daily/MPMG/date/2022-2-13
