Date,URL
"2019-03-10, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-3-10
"2019-03-13, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-3-13
"2019-03-18, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-3-18
"2019-03-20, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-3-20
"2019-03-22, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-3-22
"2019-03-24, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-3-24
"2019-03-26, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-3-26
"2019-03-28, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-3-28
"2019-03-30, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-3-30
"2019-04-01, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-1
"2019-04-03, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-3
"2019-04-05, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-5
"2019-04-07, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-7
"2019-04-09, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-9
"2019-04-11, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-11
"2019-04-13, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-13
"2019-04-14, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-14
"2019-04-15, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-15
"2019-04-17, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-17
"2019-04-20, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-20
"2019-04-22, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-22
"2019-04-30, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-4-20
"2019-06-29, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-6-29
"2019-07-06, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-7-6
"2019-07-27, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-7-27
"2019-08-02, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-8-2
"2019-08-08, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-8-8
"2019-08-11, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-8-11
"2019-08-14, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-8-14
"2019-08-17, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-8-17
"2019-08-29, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-8-29
"2019-09-01, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-9-1
"2019-09-04, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-9-4
"2019-09-07, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-9-7
"2019-09-10, Moxico Province, Moxico, Angola",https://www.wunderground.com/history/daily/FNUE/date/2019-9-10
